"ImageNr" "n_org" "area_org" "radius_mean" "Replicate" "Organoid" "Treatment" "Medium"
"1" "XY01" 798 386463 10.9545515294921 "R1" "mCol WT" "DMSO" "WENR"
"2" "XY03" 762 415182 11.5122082506971 "R1" "mCol WT" "10 DB" "WENR"
"3" "XY05" 778 398147 11.1300274797966 "R1" "mCol WT" "DMSO" "WENR"
"4" "XY07" 744 376912 11.0462332142647 "R1" "mCol WT" "10 DB" "WENR"
"5" "XY09" 578 312725 11.5805051710673 "R1" "mCol WT" "DMSO" "WENR"
"6" "XY11" 675 326706 10.8690194609973 "R1" "mCol WT" "10 DB" "WENR"
"7" "XY13" 109 61078 11.0649069190059 "R1" "mCol APC" "DMSO" "ENR"
"8" "XY15" 82 20096 7.85629463470047 "R1" "mCol APC" "10 DB" "ENR"
"9" "XY17" 87 38636 10.0596786885123 "R1" "mCol APC" "DMSO" "ENR"
"10" "XY19" 44 9779 7.50363662484043 "R1" "mCol APC" "10 DB" "ENR"
"11" "XY21" 80 30471 9.4270757894822 "R1" "mCol APC" "DMSO" "ENR"
"12" "XY23" 57 16190 8.15189928474529 "R1" "mCol APC" "10 DB" "ENR"
"13" "XY01" 256 122985 10.829298159085 "R2" "mCol WT" "DMSO" "WENR"
"14" "XY02" 183 66735 9.62268106971789 "R2" "mCol WT" "DMSO" "WENR"
"15" "XY03" 232 132916 11.5328592925009 "R2" "mCol WT" "DMSO" "WENR"
"16" "XY07" 184 45283 7.72522519515477 "R2" "mCol WT" "10 DB" "WENR"
"17" "XY08" 228 53402 7.696168804149 "R2" "mCol WT" "10 DB" "WENR"
"18" "XY09" 227 61041 8.11374517313291 "R2" "mCol WT" "10 DB" "WENR"
"19" "XY13" 362 263225 13.3403906140103 "R2" "mCol APC" "DMSO" "ENR"
"20" "XY14" 355 253169 13.144432263174 "R2" "mCol APC" "DMSO" "ENR"
"21" "XY15" 235 89363 9.67084650080088 "R2" "mCol APC" "DMSO" "ENR"
"22" "XY19" 237 62162 7.9544392792901 "R2" "mCol APC" "10 DB" "ENR"
"23" "XY20" 281 72982 7.79254639992322 "R2" "mCol APC" "10 DB" "ENR"
"24" "XY21" 170 31109 6.82731117567401 "R2" "mCol APC" "10 DB" "ENR"
"25" "XY01" 319 292600 15.0135524582875 "R3" "mCol WT" "DMSO" "WENR"
"26" "XY03" 609 300969 10.6246503380729 "R3" "mCol WT" "10 DB" "WENR"
"27" "XY05" 814 420210 11.073950602162 "R3" "mCol WT" "DMSO" "WENR"
"28" "XY07" 863 360175 9.68828225068326 "R3" "mCol WT" "10 DB" "WENR"
